date,pnl_usd,intraday_low
2023-09-22,-2.88,-756.0
2023-10-06,6580.0599999999995,-1197.5
2023-10-10,-1379.3200000000002,-3000.32
2023-10-17,148.26,-444.5
2023-10-27,8.26,-700.0
2023-11-03,-635.9399999999999,-1955.88
2023-11-07,24.12,-490.5
2023-11-10,-2546.82,-6664.5
2023-11-14,-1597.7599999999998,-3956.0
2023-11-28,-1216.26,-2170.26
2023-12-01,-666.56,-1500.0
2023-12-05,-84.43999999999994,-1588.44
2023-12-08,-796.74,-1885.24
2023-12-15,-2.88,-558.0
2024-01-05,1203.12,-558.0
2024-01-09,-1385.2,-2971.2
2024-01-16,4.76,-822.5
2024-01-26,-674.56,-1466.56
2024-02-02,415.08,-480.0
2024-02-09,-2.88,-463.5
2024-03-01,1.62,-513.0
2024-03-08,-634.92,-1375.92
2024-03-12,-608.2,-1270.7
2024-03-19,4.76,-738.5
2024-03-22,285.12,-490.5
2024-04-05,-599.34,-1369.3400000000001
2024-04-23,5.44,-940.0
2024-04-26,10.08,-759.0
2024-05-03,-1034.74,-2252.74
2024-05-07,-2.88,-864.0
2024-05-14,-1010.56,-2314.56
2024-05-24,987.12,-774.0
2024-06-11,33.12,-508.5
2024-06-14,-812.88,-1766.88
2024-06-21,-688.24,-1766.24
2024-06-25,-700.38,-1555.38
2024-06-28,-794.56,-1852.0
2024-07-02,4.76,-703.5
2024-07-05,6.880000000000001,-1380.0
2024-07-12,4.76,-1533.0
2024-07-26,13.4,-1251.6
2024-08-13,601.02,-329.0
2024-08-16,28.08,-588.0
2024-08-27,-687.8399999999999,-1791.84
2024-09-24,10.08,-537.0
2024-10-11,1.44,-1824.0
2024-10-22,-681.24,-1584.24
2024-10-25,-693.4399999999999,-1869.44
2024-10-29,1500.38,-693.24
2024-11-01,256.76,-1162.0
2024-11-05,9.7,-1348.0
2024-11-19,205.9,-422.5
2024-11-29,460.62,-1138.5
2024-12-03,-961.38,-1987.38
2024-12-06,-2.88,-1084.5
2024-12-20,2104.72,-1070.0
2025-01-03,188.72,-416.0
2025-01-17,-1846.74,-4006.24
2025-01-28,-647.28,-1289.28
2025-02-11,7.0600000000000005,-1606.5
2025-02-28,-703.28,-1687.28
2025-03-14,10.72,-242.0
2025-03-21,14.72,-432.0
2025-03-25,1.44,-620.0
2025-04-01,296.72,-728.0
2025-04-22,13.4,-835.0
2025-04-25,14.72,-428.0
2025-05-06,165.9,-595.0
2025-05-13,-717.2400000000001,-1534.3200000000002
2025-05-20,-677.74,-1482.74
2025-05-27,-2860.68,-6352.68
2025-06-10,4.76,-336.0
2025-06-13,12.72,-414.0
2025-06-27,-664.38,-1357.38
2025-07-25,-7.38,-495.0
2025-08-12,15.66,-517.5
2025-08-26,-686.88,-1402.38
2025-09-12,6.12,-310.5
2025-09-19,1.44,-264.0
2025-10-14,495.49999999999994,-7201.0
2025-10-17,-630.96,-1511.46
2025-10-21,4.76,-591.5
2025-11-04,-661.6,-1774.1
2025-11-14,731.04,-807.0
2025-11-21,19.36,-749.0
2025-11-28,-682.56,-1570.56
2025-12-05,393.26,-1179.5
2025-12-16,-703.28,-2453.2799999999997
2025-12-23,-110.43999999999994,-1771.38
2026-01-06,1.44,-1464.0
2026-01-09,-612.56,-1373.28
2026-01-20,-636.38,-1381.6
2026-01-23,1477.08,-1056.0
2026-02-20,-478.64,-1053.6399999999999
2026-03-10,12.54,-432.0
2026-03-31,14.36,-994.0
2026-04-14,7607.62,-604.0
2026-04-24,12.72,-616.0
2026-05-01,10.9,-1195.0
2026-05-26,17.16,-1116.0
2026-06-02,10.72,-436.0
2026-06-12,20.36,-530.64
2026-06-23,18.54,-1239.0
2026-06-26,-602.64,-1313.6399999999999
2026-06-30,-2379.96,-5664.46
