trading_day,bias_overnight,bias_gap,bias_dayhist,y,on_range,gap,rth_range
2021-06-24T00:00:00,0,1,0,0,145.0,195.0,197.0
2021-06-25T00:00:00,0,0,0,0,132.0,166.0,196.0
2021-06-28T00:00:00,0,0,0,1,112.0,6.0,268.0
2021-06-29T00:00:00,0,0,0,0,177.0,113.0,218.0
2021-06-30T00:00:00,0,0,0,1,214.0,57.0,323.0
2021-07-01T00:00:00,0,0,0,0,160.0,83.0,151.0
2021-07-02T00:00:00,0,0,0,0,130.0,69.0,213.0
2021-07-05T00:00:00,0,0,0,0,121.0,21.0,64.0
2021-07-06T00:00:00,0,0,0,1,105.0,37.0,459.0
2021-07-07T00:00:00,0,0,1,1,110.0,12.0,275.0
2021-07-08T00:00:00,1,1,0,1,492.0,432.0,344.0
2021-07-09T00:00:00,1,1,0,1,360.0,222.0,323.0
2021-07-12T00:00:00,0,0,0,1,180.0,76.0,296.0
2021-07-13T00:00:00,0,0,0,0,132.0,55.0,138.0
2021-07-14T00:00:00,1,0,0,0,242.0,111.0,236.0
2021-07-15T00:00:00,0,0,0,0,179.0,163.0,237.0
2021-07-16T00:00:00,0,0,0,1,149.0,100.0,446.0
2021-07-19T00:00:00,1,1,1,1,423.0,497.0,525.0
2021-07-20T00:00:00,1,0,1,1,293.0,45.0,636.0
2021-07-21T00:00:00,0,1,1,0,269.0,191.0,181.0
2021-07-22T00:00:00,0,0,0,0,175.0,22.0,213.0
2021-07-23T00:00:00,0,0,0,0,170.0,179.0,182.0
2021-07-26T00:00:00,0,0,0,0,245.0,65.0,197.0
2021-07-27T00:00:00,0,0,0,0,195.0,144.0,197.0
2021-07-28T00:00:00,0,0,0,0,184.0,40.0,265.0
2021-07-29T00:00:00,0,0,0,0,173.0,159.0,132.0
2021-07-30T00:00:00,0,0,0,0,138.0,94.0,239.0
2021-08-02T00:00:00,0,0,0,1,161.0,101.0,386.0
2021-08-03T00:00:00,0,0,1,1,123.0,69.0,407.0
2021-08-04T00:00:00,0,0,1,0,158.0,152.0,223.0
2021-08-05T00:00:00,0,0,0,0,121.0,90.0,196.0
2021-08-06T00:00:00,0,0,0,0,177.0,105.0,108.0
2021-08-09T00:00:00,0,0,0,0,116.0,44.0,151.0
2021-08-10T00:00:00,0,0,0,0,96.0,28.0,192.0
2021-08-11T00:00:00,0,0,0,0,183.0,124.0,143.0
2021-08-12T00:00:00,0,0,0,0,84.0,28.0,153.0
2021-08-13T00:00:00,0,0,0,0,83.0,63.0,138.0
2021-08-16T00:00:00,0,0,0,1,138.0,98.0,392.0
2021-08-17T00:00:00,0,1,1,1,180.0,263.0,314.0
2021-08-18T00:00:00,0,0,0,1,166.0,123.0,411.0
2021-08-19T00:00:00,1,1,1,1,392.0,280.0,319.0
2021-08-20T00:00:00,1,0,0,1,304.0,12.0,325.0
2021-08-23T00:00:00,0,1,0,0,130.0,186.0,140.0
2021-08-24T00:00:00,0,0,0,0,111.0,66.0,88.0
2021-08-25T00:00:00,0,0,0,0,84.0,1.0,217.0
2021-08-26T00:00:00,0,0,0,1,125.0,39.0,293.0
2021-08-27T00:00:00,0,0,0,0,103.0,53.0,219.0
2021-08-30T00:00:00,0,0,0,0,45.0,34.0,134.0
2021-08-31T00:00:00,0,0,0,0,195.0,33.0,166.0
2021-09-01T00:00:00,0,0,0,0,149.0,32.0,109.0
2021-09-02T00:00:00,0,0,0,0,180.0,124.0,127.0
2021-09-03T00:00:00,1,0,0,0,212.0,125.0,160.0
2021-09-06T00:00:00,0,0,0,0,112.0,86.0,60.0
2021-09-07T00:00:00,0,0,0,1,119.0,134.0,275.0
2021-09-08T00:00:00,1,0,0,1,248.0,63.0,258.0
2021-09-09T00:00:00,1,0,0,1,250.0,18.0,362.0
2021-09-10T00:00:00,0,1,1,1,130.0,189.0,514.0
2021-09-13T00:00:00,1,1,1,1,264.0,222.0,249.0
2021-09-14T00:00:00,1,0,0,1,234.0,1.0,498.0
2021-09-15T00:00:00,0,0,1,1,180.0,6.0,369.0
2021-09-16T00:00:00,0,0,1,1,128.0,1.0,412.0
2021-09-17T00:00:00,0,0,1,1,196.0,69.0,266.0
2021-09-20T00:00:00,1,1,0,1,415.0,551.0,617.0
2021-09-21T00:00:00,1,1,1,1,253.0,203.0,405.0
2021-09-22T00:00:00,0,1,1,1,217.0,205.0,393.0
2021-09-23T00:00:00,0,1,1,1,224.0,233.0,412.0
2021-09-24T00:00:00,0,0,1,0,205.0,106.0,213.0
2021-09-27T00:00:00,1,0,0,0,256.0,37.0,238.0
2021-09-28T00:00:00,1,0,0,1,318.0,128.0,544.0
2021-09-29T00:00:00,0,0,1,1,206.0,93.0,283.0
2021-09-30T00:00:00,0,0,0,1,231.0,121.0,736.0
2021-10-01T00:00:00,1,0,1,1,535.0,174.0,712.0
2021-10-04T00:00:00,1,0,1,1,262.0,52.0,599.0
2021-10-05T00:00:00,1,0,1,1,269.0,108.0,448.0
2021-10-06T00:00:00,1,1,1,1,351.0,271.0,584.0
2021-10-07T00:00:00,0,1,1,1,254.0,269.0,304.0
2021-10-08T00:00:00,0,0,0,0,197.0,27.0,188.0
2021-10-11T00:00:00,0,0,0,1,179.0,12.0,465.0
2021-10-12T00:00:00,1,0,1,1,347.0,52.0,294.0
2021-10-13T00:00:00,0,0,0,1,203.0,16.0,343.0
2021-10-14T00:00:00,1,1,0,0,258.0,339.0,261.0
2021-10-15T00:00:00,0,1,0,0,190.0,264.0,222.0
2021-10-18T00:00:00,0,0,0,1,219.0,154.0,287.0
2021-10-19T00:00:00,0,0,0,0,237.0,120.0,170.0
2021-10-20T00:00:00,0,0,0,0,94.0,5.0,224.0
2021-10-21T00:00:00,0,0,0,0,89.0,62.0,175.0
2021-10-22T00:00:00,0,0,0,0,115.0,4.0,234.0
2021-10-25T00:00:00,0,0,0,0,84.0,57.0,160.0
2021-10-26T00:00:00,0,0,0,0,127.0,102.0,160.0
2021-10-27T00:00:00,0,0,0,1,130.0,58.0,331.0
2021-10-28T00:00:00,0,0,0,0,102.0,75.0,164.0
2021-10-29T00:00:00,0,0,0,0,117.0,66.0,220.0
2021-11-01T00:00:00,0,0,0,0,152.0,125.0,209.0
2021-11-02T00:00:00,0,0,0,0,156.0,27.0,209.0
2021-11-03T00:00:00,0,0,0,1,99.0,62.0,340.0
2021-11-04T00:00:00,0,0,0,0,69.0,26.0,181.0
2021-11-05T00:00:00,0,0,0,1,233.0,159.0,307.0
2021-11-08T00:00:00,0,0,0,0,226.0,178.0,231.0
2021-11-09T00:00:00,0,0,0,0,114.0,20.0,247.0
2021-11-10T00:00:00,0,0,0,1,137.0,75.0,345.0
2021-11-11T00:00:00,0,0,0,0,111.0,11.0,185.0
2021-11-12T00:00:00,0,0,0,0,125.0,121.0,216.0
2021-11-15T00:00:00,0,0,0,0,211.0,135.0,206.0
2021-11-16T00:00:00,0,0,0,0,153.0,52.0,185.0
2021-11-17T00:00:00,0,0,0,0,114.0,49.0,202.0
2021-11-18T00:00:00,0,0,0,1,97.0,13.0,295.0
2021-11-19T00:00:00,1,0,0,0,444.0,83.0,250.0
2021-11-22T00:00:00,0,0,0,1,167.0,154.0,317.0
2021-11-23T00:00:00,1,0,0,1,256.0,6.0,305.0
2021-11-24T00:00:00,0,1,0,0,227.0,202.0,241.0
2021-11-25T00:00:00,0,0,0,0,143.0,34.0,66.0
2021-11-26T00:00:00,1,1,0,1,518.0,791.0,467.0
2021-11-29T00:00:00,1,1,1,1,293.0,556.0,385.0
2021-11-30T00:00:00,1,1,0,1,687.0,260.0,565.0
2021-12-01T00:00:00,0,1,1,1,245.0,315.0,1006.0
2021-12-02T00:00:00,1,0,1,1,279.0,136.0,682.0
2021-12-03T00:00:00,1,0,1,1,266.0,89.0,547.0
2021-12-06T00:00:00,0,1,1,1,239.0,298.0,522.0
2021-12-07T00:00:00,1,1,1,0,283.0,308.0,290.0
2021-12-08T00:00:00,1,0,0,0,304.0,41.0,245.0
2021-12-09T00:00:00,0,0,0,0,187.0,123.0,282.0
2021-12-10T00:00:00,1,0,0,0,275.0,143.0,268.0
2021-12-13T00:00:00,0,0,0,1,228.0,85.0,338.0
2021-12-14T00:00:00,1,1,0,1,278.0,236.0,347.0
2021-12-15T00:00:00,0,0,0,1,125.0,27.0,556.0
2021-12-16T00:00:00,0,0,1,1,243.0,149.0,423.0
2021-12-17T00:00:00,1,1,0,1,347.0,233.0,434.0
2021-12-20T00:00:00,1,1,0,1,376.0,414.0,308.0
2021-12-21T00:00:00,0,1,0,1,240.0,289.0,352.0
2021-12-22T00:00:00,0,0,0,1,168.0,4.0,342.0
2021-12-23T00:00:00,0,0,0,0,134.0,92.0,240.0
2021-12-27T00:00:00,0,0,0,1,171.0,66.0,326.0
2021-12-28T00:00:00,0,0,0,0,167.0,10.0,227.0
2021-12-29T00:00:00,0,0,0,0,96.0,3.0,189.0
2021-12-30T00:00:00,0,0,0,1,136.0,86.0,320.0
2021-12-31T00:00:00,0,0,0,0,130.0,49.0,186.0
2022-01-03T00:00:00,0,0,0,1,140.0,97.0,352.0
2022-01-04T00:00:00,0,0,1,0,148.0,162.0,201.0
2022-01-05T00:00:00,0,0,0,1,169.0,19.0,552.0
2022-01-06T00:00:00,0,0,1,0,259.0,4.0,269.0
2022-01-07T00:00:00,0,0,0,1,191.0,54.0,276.0
2022-01-10T00:00:00,0,0,0,1,202.0,121.0,483.0
2022-01-11T00:00:00,0,0,1,1,198.0,14.0,509.0
2022-01-12T00:00:00,0,0,1,1,222.0,115.0,292.0
2022-01-13T00:00:00,0,0,0,1,240.0,126.0,467.0
2022-01-14T00:00:00,1,1,1,1,451.0,299.0,342.0
2022-01-17T00:00:00,0,0,0,0,165.0,3.0,62.0
2022-01-18T00:00:00,1,1,0,0,345.0,409.0,280.0
2022-01-19T00:00:00,1,0,0,1,387.0,97.0,537.0
2022-01-20T00:00:00,0,0,1,1,190.0,99.0,828.0
2022-01-21T00:00:00,0,0,1,1,262.0,4.0,676.0
2022-01-24T00:00:00,1,1,1,1,740.0,374.0,1273.0
2022-01-25T00:00:00,1,1,1,1,411.0,334.0,1049.0
2022-01-26T00:00:00,1,1,1,1,473.0,296.0,954.0
2022-01-27T00:00:00,1,1,1,1,771.0,283.0,775.0
2022-01-28T00:00:00,1,0,1,1,646.0,45.0,928.0
2022-01-31T00:00:00,1,0,1,1,398.0,129.0,667.0
2022-02-01T00:00:00,0,0,1,1,248.0,72.0,458.0
2022-02-02T00:00:00,0,0,0,1,168.0,17.0,388.0
2022-02-03T00:00:00,0,0,0,1,168.0,115.0,472.0
2022-02-04T00:00:00,1,0,0,1,523.0,63.0,547.0
2022-02-07T00:00:00,0,0,0,0,238.0,40.0,338.0
2022-02-08T00:00:00,0,0,0,1,202.0,73.0,461.0
2022-02-09T00:00:00,0,0,0,0,231.0,276.0,142.0
2022-02-10T00:00:00,1,0,0,1,406.0,284.0,704.0
2022-02-11T00:00:00,0,0,1,1,340.0,1.0,818.0
2022-02-14T00:00:00,1,0,1,1,506.0,50.0,439.0
2022-02-15T00:00:00,1,1,0,0,580.0,306.0,244.0
2022-02-16T00:00:00,0,0,0,1,327.0,139.0,402.0
2022-02-17T00:00:00,0,0,0,1,249.0,231.0,486.0
2022-02-18T00:00:00,0,0,0,1,377.0,40.0,456.0
2022-02-21T00:00:00,1,0,0,0,625.0,107.0,271.0
2022-02-22T00:00:00,1,0,0,1,590.0,113.0,671.0
2022-02-23T00:00:00,0,0,1,1,234.0,231.0,747.0
2022-02-24T00:00:00,1,1,1,1,482.0,856.0,1011.0
2022-02-25T00:00:00,1,0,1,1,605.0,130.0,806.0
2022-02-28T00:00:00,0,1,1,1,329.0,467.0,502.0
2022-03-01T00:00:00,1,0,0,1,536.0,189.0,770.0
2022-03-02T00:00:00,0,0,1,1,426.0,201.0,572.0
2022-03-03T00:00:00,0,0,0,1,351.0,157.0,546.0
2022-03-04T00:00:00,0,1,0,0,391.0,361.0,410.0
2022-03-07T00:00:00,1,0,0,1,619.0,122.0,695.0
2022-03-08T00:00:00,1,0,1,1,719.0,8.0,833.0
2022-03-09T00:00:00,1,1,1,0,654.0,658.0,352.0
2022-03-10T00:00:00,0,1,0,0,404.0,414.0,424.0
2022-03-11T00:00:00,1,0,0,1,678.0,183.0,611.0
2022-03-14T00:00:00,0,0,0,1,287.0,161.0,582.0
2022-03-15T00:00:00,0,0,0,1,476.0,87.0,574.0
2022-03-16T00:00:00,0,1,0,1,473.0,288.0,692.0
2022-03-17T00:00:00,0,0,0,1,279.0,169.0,600.0
2022-03-18T00:00:00,0,0,0,1,220.0,124.0,490.0
2022-03-21T00:00:00,0,0,0,0,146.0,67.0,465.0
2022-03-22T00:00:00,0,0,0,0,259.0,164.0,192.0
2022-03-23T00:00:00,0,0,0,0,283.0,210.0,309.0
2022-03-24T00:00:00,0,0,0,0,147.0,109.0,368.0
2022-03-25T00:00:00,0,0,0,0,174.0,54.0,316.0
2022-03-28T00:00:00,0,0,0,0,230.0,77.0,415.0
2022-03-29T00:00:00,0,1,0,0,324.0,326.0,356.0
2022-03-30T00:00:00,0,0,0,0,179.0,82.0,302.0
2022-03-31T00:00:00,0,0,0,0,186.0,112.0,481.0
2022-04-01T00:00:00,0,0,0,0,131.0,127.0,310.0
2022-04-04T00:00:00,0,0,0,0,168.0,44.0,329.0
2022-04-05T00:00:00,0,0,0,1,201.0,141.0,547.0
2022-04-06T00:00:00,0,0,0,0,339.0,285.0,341.0
2022-04-07T00:00:00,0,0,0,1,279.0,118.0,521.0
2022-04-08T00:00:00,0,0,0,0,201.0,25.0,450.0
2022-04-11T00:00:00,0,0,0,0,211.0,201.0,431.0
2022-04-12T00:00:00,0,0,0,1,460.0,106.0,573.0
2022-04-13T00:00:00,0,0,0,0,316.0,58.0,454.0
2022-04-14T00:00:00,0,0,0,0,169.0,107.0,451.0
2022-04-18T00:00:00,0,0,0,0,136.0,50.0,349.0
2022-04-19T00:00:00,0,0,0,1,234.0,19.0,558.0
2022-04-20T00:00:00,0,0,0,0,302.0,189.0,286.0
2022-04-21T00:00:00,0,0,0,1,183.0,224.0,776.0
2022-04-22T00:00:00,0,0,1,1,174.0,152.0,865.0
2022-04-25T00:00:00,0,0,1,1,288.0,189.0,789.0
2022-04-26T00:00:00,0,1,1,1,341.0,262.0,680.0
2022-04-27T00:00:00,0,0,1,1,385.0,160.0,597.0
2022-04-28T00:00:00,0,0,0,1,372.0,213.0,815.0
2022-04-29T00:00:00,0,0,1,1,288.0,155.0,1016.0
2022-05-02T00:00:00,0,0,1,1,283.0,54.0,786.0
2022-05-03T00:00:00,0,0,1,0,340.0,38.0,436.0
2022-05-04T00:00:00,0,0,0,1,184.0,51.0,1108.0
2022-05-05T00:00:00,0,1,1,1,338.0,289.0,1138.0
2022-05-06T00:00:00,0,1,1,1,297.0,256.0,588.0
2022-05-09T00:00:00,0,1,0,0,391.0,408.0,495.0
2022-05-10T00:00:00,0,1,0,1,282.0,385.0,859.0
2022-05-11T00:00:00,1,0,1,1,599.0,2.0,792.0
2022-05-12T00:00:00,0,0,1,1,358.0,200.0,690.0
