Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
235,Entry long,2025-11-11 11:45,Long,47771,17,406053.5,1577.26,0.39,2157.13,0.53,-78.37,-0.02,60026.11,30.01,9
236,Exit long,2025-11-11 14:00,Exit Long Add,47959,127,3048698.5,-3456.94,-0.11,557.53,0.02,-3379.47,-0.11,56646.64,28.32,3
236,Entry long,2025-11-11 13:15,Long Add,48011,127,3048698.5,-3456.94,-0.11,557.53,0.02,-3379.47,-0.11,56646.64,28.32,3
237,Exit long,2025-11-14 12:00,Exit Long,47370,16,378936,4.48,0.00,310.24,0.08,-625.76,-0.17,56651.12,28.33,3
237,Entry long,2025-11-14 11:15,Long,47367,16,378936,4.48,0.00,310.24,0.08,-625.76,-0.17,56651.12,28.33,3
238,Exit long,2025-11-21 13:00,Exit Long,46428,13,300742,1024.14,0.34,1922.57,0.64,-235.43,-0.08,57675.26,28.84,6
238,Entry long,2025-11-21 11:30,Long,46268,13,300742,1024.14,0.34,1922.57,0.64,-235.43,-0.08,57675.26,28.84,6
239,Exit long,2025-11-25 11:45,Exit Long,46873,15,351525,4.2,0.00,418.35,0.12,-1014.15,-0.29,57679.46,28.84,5
239,Entry long,2025-11-25 10:30,Long,46870,15,351525,4.2,0.00,418.35,0.12,-1014.15,-0.29,57679.46,28.84,5
240,Exit long,2025-11-25 16:30,EOD Flat,47198,15,352080,1886.7,0.54,2285.85,0.65,-39.15,-0.01,59497.84,29.75,19
240,Entry long,2025-11-25 11:45,Long,46944,15,352080,1886.7,0.54,2285.85,0.65,-39.15,-0.01,59497.84,29.75,19
241,Exit long,2025-11-25 16:30,EOD Flat,47198,112,2636872,6079.36,0.23,9059.68,0.34,-852.32,-0.03,65645.52,32.82,8
241,Entry long,2025-11-25 14:30,Long Add,47087,112,2636872,6079.36,0.23,9059.68,0.34,-852.32,-0.03,65645.52,32.82,8
242,Exit long,2025-11-28 11:15,Exit Long,47732,17,404685,1016.26,0.25,1434.63,0.35,-409.87,-0.10,66584.31,33.29,7
242,Entry long,2025-11-28 09:30,Long,47610,17,404685,1016.26,0.25,1434.63,0.35,-409.87,-0.10,66584.31,33.29,7
243,Exit long,2025-11-28 11:15,Exit Long Add,47732,127,3033585.5,-2758.44,-0.09,367.03,0.01,-2680.97,-0.09,63903.34,31.95,1
243,Entry long,2025-11-28 11:00,Long Add,47773,127,3033585.5,-2758.44,-0.09,367.03,0.01,-2680.97,-0.09,63903.34,31.95,1
244,Exit long,2025-12-02 10:15,Exit Long,47416,17,404022,-1006.74,-0.25,355.13,0.09,-1072.87,-0.27,62896.6,31.45,1
244,Entry long,2025-12-02 10:00,Long,47532,17,404022,-1006.74,-0.25,355.13,0.09,-1072.87,-0.27,62896.6,31.45,1
245,Exit long,2025-12-02 11:15,Exit Long,47518,17,404753,-870.74,-0.22,423.13,0.10,-860.37,-0.21,62025.86,31.01,2
245,Entry long,2025-12-02 10:45,Long,47618,17,404753,-870.74,-0.22,423.13,0.10,-860.37,-0.21,62025.86,31.01,2
246,Exit long,2025-12-05 10:15,Exit Long,48097,17,408697,106.76,0.03,856.63,0.21,-44.37,-0.01,62132.62,31.07,2
246,Entry long,2025-12-05 09:45,Long,48082,17,408697,106.76,0.03,856.63,0.21,-44.37,-0.01,62132.62,31.07,2
247,Exit long,2025-12-09 10:00,Exit Long,47901,17,406929,208.76,0.05,1094.63,0.27,-384.37,-0.09,62341.38,31.17,2
247,Entry long,2025-12-09 09:30,Long,47874,17,406929,208.76,0.05,1094.63,0.27,-384.37,-0.09,62341.38,31.17,2
248,Exit long,2025-12-23 14:00,Exit Long,48791,17,414664,38.76,0.01,576.13,0.14,-477.87,-0.12,62380.14,31.19,14
248,Entry long,2025-12-23 10:30,Long,48784,17,414664,38.76,0.01,576.13,0.14,-477.87,-0.12,62380.14,31.19,14
249,Exit long,2026-01-06 10:15,Exit Long,49376,17,418803.5,871.76,0.21,1451.63,0.35,-333.37,-0.08,63251.9,31.63,3
249,Entry long,2026-01-06 09:30,Long,49271,17,418803.5,871.76,0.21,1451.63,0.35,-333.37,-0.08,63251.9,31.63,3
250,Exit long,2026-01-06 14:30,Exit Long,49690,17,420452.5,1891.76,0.45,2403.63,0.57,-375.87,-0.09,65066.19,32.53,13
250,Entry long,2026-01-06 11:15,Long,49465,17,420452.5,1891.76,0.45,2403.63,0.57,-375.87,-0.09,65066.19,32.53,13
251,Exit long,2026-01-06 14:30,Exit Long Add,49690,127,3153219.5,1940.56,0.06,5764.53,0.18,-1664.97,-0.05,67084.22,33.54,7
251,Entry long,2026-01-06 12:45,Long Add,49657,127,3153219.5,1940.56,0.06,5764.53,0.18,-1664.97,-0.05,67084.22,33.54,7
252,Exit long,2026-01-09 12:15,Exit Long,49753,17,422883.5,-3.74,0.00,295.63,0.07,-112.37,-0.03,67080.48,33.54,2
252,Entry long,2026-01-09 11:45,Long,49751,17,422883.5,-3.74,0.00,295.63,0.07,-112.37,-0.03,67080.48,33.54,2
253,Exit long,2026-01-20 11:00,Exit Long,48966,17,417146,-955.74,-0.23,100.13,0.02,-945.37,-0.23,66124.74,33.06,2
253,Entry long,2026-01-20 10:30,Long,49076,17,417146,-955.74,-0.23,100.13,0.02,-945.37,-0.23,66124.74,33.06,2
254,Exit long,2026-02-06 16:30,EOD Flat,50186,16,398968,2500.48,0.63,3126.24,0.78,-1169.76,-0.29,68552.02,34.28,24
254,Entry long,2026-02-06 10:30,Long,49871,16,398968,2500.48,0.63,3126.24,0.78,-1169.76,-0.29,68552.02,34.28,24
