exit_date,trade_number,signal,qty,net_pnl_usd,pnl_per_contract,commission_usd,mae_usd,mfe_usd,duration_bars,is_scalein
2024-01-10,900,ORB Long,2,140.36,70.18,3.64,-80.82,434.18,21,False
2024-01-10,901,Scale-in Long,2,95.36,47.68,3.64,-125.82,389.18,21,True
2024-01-16,903,Scale-in Long,2,-58.64,-29.32,3.64,-521.82,166.18,26,True
2024-01-16,902,ORB Long,2,124.36,62.18,3.64,-338.82,349.18,26,False
2024-01-17,904,ORB Long,2,56.36,28.18,3.64,0.0,162.18,4,False
2024-01-17,905,Scale-in Long,2,-42.64,-21.32,3.64,-59.82,1.18,4,True
2024-01-18,906,ORB Long,2,243.36,121.68,3.64,-451.82,282.18,25,False
2024-01-18,907,Scale-in Long,2,195.36,97.68,3.64,-499.82,234.18,25,True
2024-01-19,908,ORB Long,2,957.36,478.68,3.64,-217.82,995.18,27,False
2024-01-19,909,Scale-in Long,2,1081.36,540.68,3.64,-32.82,1119.18,27,True
2024-01-23,910,ORB Long,2,226.36,113.18,3.64,-134.82,258.18,16,False
2024-01-23,911,Scale-in Long,2,128.36,64.18,3.64,-85.82,160.18,7,True
2024-01-24,912,ORB Long,2,38.36,19.18,3.64,-32.82,391.18,13,False
2024-01-24,913,Scale-in Long,2,-335.64,-167.82,3.64,-584.82,311.18,26,True
2024-01-25,915,Scale-in Long,2,-547.64,-273.82,3.64,-545.82,84.18,14,True
2024-01-25,914,ORB Long,2,-538.64,-269.32,3.64,-536.82,93.18,14,False
2024-01-26,916,ORB Long,2,-272.64,-136.32,3.64,-301.82,236.18,26,False
2024-01-26,917,Scale-in Long,2,-308.64,-154.32,3.64,-337.82,200.18,26,True
2024-01-29,918,ORB Long,2,452.36,226.18,3.64,-45.82,523.18,19,False
2024-01-29,919,Scale-in Long,2,411.36,205.68,3.64,-70.82,482.18,18,True
2024-01-31,920,ORB Long,2,-718.64,-359.32,3.64,-716.82,227.18,2,False
2024-01-31,921,Scale-in Long,2,-845.64,-422.82,3.64,-843.82,100.18,2,True
2024-02-01,922,ORB Long,2,15.36,7.68,3.64,-304.82,291.18,12,False
2024-02-01,923,Scale-in Long,2,-2.64,-1.32,3.64,-322.82,273.18,12,True
2024-02-02,925,Scale-in Long,2,370.36,185.18,3.64,-177.82,731.18,27,True
2024-02-02,924,ORB Long,2,379.36,189.68,3.64,-168.82,740.18,28,False
2024-02-05,927,Scale-in Long,2,-143.64,-71.82,3.64,-258.82,28.18,9,True
2024-02-05,926,ORB Long,2,-143.64,-71.82,3.64,-258.82,28.18,9,False
2024-02-07,928,ORB Long,2,44.36,22.18,3.64,0.0,385.18,10,False
2024-02-07,929,Scale-in Long,2,189.36,94.68,3.64,-113.82,272.18,27,True
2024-02-08,930,ORB Long,2,28.36,14.18,3.64,-118.82,173.18,27,False
2024-02-08,931,Scale-in Long,2,80.36,40.18,3.64,-66.82,225.18,27,True
2024-02-09,932,ORB Long,2,384.36,192.18,3.64,-72.82,520.18,28,False
2024-02-09,933,Scale-in Long,2,403.36,201.68,3.64,-13.82,539.18,27,True
2024-02-12,934,ORB Long,2,13.36,6.68,3.64,0.0,279.18,11,False
2024-02-12,935,Scale-in Long,2,-478.64,-239.32,3.64,-476.82,244.18,15,True
2024-02-13,936,ORB Long,2,94.36,47.18,3.64,-513.82,469.18,28,False
2024-02-13,937,Scale-in Long,2,-178.64,-89.32,3.64,-786.82,196.18,26,True
2024-02-14,939,Scale-in Long,2,144.36,72.18,3.64,-588.82,197.18,26,True
2024-02-14,938,ORB Long,2,217.36,108.68,3.64,-515.82,270.18,26,False
2024-02-15,941,Scale-in Long,2,125.36,62.68,3.64,-195.82,185.18,14,True
2024-02-15,940,ORB Long,2,199.36,99.68,3.64,-121.82,259.18,14,False
2024-02-21,942,ORB Long,2,222.36,111.18,3.64,-556.82,561.18,25,False
2024-02-21,943,Scale-in Long,2,283.36,141.68,3.64,-495.82,622.18,25,True
2024-02-22,944,ORB Long,2,404.36,202.18,3.64,-105.82,657.18,28,False
2024-02-22,945,Scale-in Long,2,345.36,172.68,3.64,-164.82,598.18,27,True
2024-02-26,946,ORB Long,2,-411.64,-205.82,3.64,-427.82,33.18,20,False
2024-02-26,947,Scale-in Long,2,-392.64,-196.32,3.64,-408.82,52.18,20,True
2024-02-27,948,ORB Long,2,-64.64,-32.32,3.64,-475.82,20.18,26,False
2024-02-28,949,ORB Long,2,-349.64,-174.82,3.64,-403.82,111.18,23,False
2024-02-28,950,Scale-in Long,2,-333.64,-166.82,3.64,-387.82,127.18,23,True
2024-02-29,952,Scale-in Long,2,9.36,4.68,3.64,-126.82,57.18,4,True
2024-02-29,951,ORB Long,2,-12.64,-6.32,3.64,-148.82,144.18,4,False
2024-03-01,953,ORB Long,2,702.36,351.18,3.64,-3.82,909.18,27,False
2024-03-01,954,Scale-in Long,2,542.36,271.18,3.64,-163.82,749.18,27,True
2024-03-04,955,ORB Long,2,-372.64,-186.32,3.64,-414.82,38.18,9,False
