n,exp,pf,wr,profitR,maxddR,fast,slow,session,volfloor,k,exit,req_exp
302,-0.10207695380549509,0.7594221399744898,0.36423841059602646,-30.827240049259515,36.58264853435356,20,50,allday,True,2.0,trail2.0,0.2917355946569393
264,-0.09793127050882801,0.7966115566387122,0.375,-25.853855414330596,35.82455687266664,20,50,allday,True,2.0,trail3.0,0.2917355946569393
245,-0.06180324320747826,0.8510041373197881,0.44081632653061226,-15.141794585832173,21.66838618040442,20,50,allday,True,2.5,tp1.5,0.23338847572555144
235,-0.08963762113574035,0.7936096960676426,0.4297872340425532,-21.06484096689898,27.36749587529328,20,50,allday,True,2.5,tp2.0,0.23338847572555144
234,-0.09640865349475358,0.7783470634553703,0.42735042735042733,-22.55962491777234,28.709800483905784,20,50,allday,True,2.5,tp3.0,0.23338847572555144
294,-0.09674882554494338,0.7238330188550738,0.3673469387755102,-28.444154710213354,31.789211959581603,20,50,allday,True,2.5,trail2.0,0.23338847572555144
245,-0.07143448299667127,0.8140301366877751,0.4,-17.50144833418446,24.076926018177094,20,50,allday,True,2.5,trail3.0,0.23338847572555144
233,-0.06267821929386021,0.8312992000968563,0.45064377682403434,-14.604025095469428,23.855109692356248,20,50,allday,True,3.0,tp1.5,0.19449039643795954
227,-0.07728775412704275,0.7951138158766575,0.44493392070484583,-17.544320186838704,26.92557328539293,20,50,allday,True,3.0,tp2.0,0.19449039643795954
227,-0.07547415991754783,0.7999215684285148,0.44493392070484583,-17.132634301283357,25.884967604889496,20,50,allday,True,3.0,tp3.0,0.19449039643795954
289,-0.08040842350176554,0.7259108782249504,0.370242214532872,-23.238034392010242,27.625852526585902,20,50,allday,True,3.0,trail2.0,0.19449039643795954
242,-0.07124427034127748,0.786993866533529,0.4049586776859504,-17.241113422589148,24.677063449062285,20,50,allday,True,3.0,trail3.0,0.19449039643795954
142,0.1314313418558608,1.2413064116595152,0.49295774647887325,18.663250543532236,7.392601928335614,20,100,ny0811,False,1.5,tp1.5,0.3889807928759191
137,0.12791529598869222,1.2128019453851666,0.43795620437956206,17.524395550450834,10.115926135827454,20,100,ny0811,False,1.5,tp2.0,0.3889807928759191
132,0.10496617097255351,1.1595757380168548,0.3787878787878788,13.855534568377063,14.047605695182902,20,100,ny0811,False,1.5,tp3.0,0.3889807928759191
139,-0.013291513009596696,0.97615712287239,0.37410071942446044,-1.8475203083339409,15.04183611025486,20,100,ny0811,False,1.5,trail2.0,0.3889807928759191
134,0.02085511998797082,1.0330569390142748,0.3358208955223881,2.79458607838809,15.178203994867115,20,100,ny0811,False,1.5,trail3.0,0.3889807928759191
122,0.10418682918645862,1.207255738888764,0.5,12.710793160747953,6.841181763511263,20,100,ny0811,False,2.0,tp1.5,0.2917355946569393
119,0.11644201015160693,1.2194169900066703,0.453781512605042,13.856599208041224,9.019754653249016,20,100,ny0811,False,2.0,tp2.0,0.2917355946569393
117,0.05501241792941369,1.0985382289051964,0.42735042735042733,6.436452897741402,11.993965613910898,20,100,ny0811,False,2.0,tp3.0,0.2917355946569393
128,0.007189413668370587,1.0163717935642553,0.421875,0.9202449495514351,12.14011394492766,20,100,ny0811,False,2.0,trail2.0,0.2917355946569393
122,0.020058108474527773,1.0386090048220682,0.38524590163934425,2.447089233892388,11.94677416768889,20,100,ny0811,False,2.0,trail3.0,0.2917355946569393
116,0.09012326030118985,1.193300472307157,0.5,10.454298194938023,7.864509487302492,20,100,ny0811,False,2.5,tp1.5,0.23338847572555144
113,0.029637473737038508,1.0593014972497579,0.46017699115044247,3.3490345322853514,8.53962720210848,20,100,ny0811,False,2.5,tp2.0,0.23338847572555144
111,0.0006144138871452905,1.0012139198155268,0.45045045045045046,0.06819994147312725,8.365868099441538,20,100,ny0811,False,2.5,tp3.0,0.23338847572555144
127,-0.008154562601437848,0.97803203690286,0.4409448818897638,-1.0356294503826067,9.144703864341746,20,100,ny0811,False,2.5,trail2.0,0.23338847572555144
117,0.023444704384696813,1.0537611406516074,0.4188034188034188,2.743030413009527,7.9605521757511175,20,100,ny0811,False,2.5,trail3.0,0.23338847572555144
106,0.0673858063199084,1.1596748265592545,0.49056603773584906,7.14289546991029,7.018075707167828,20,100,ny0811,False,3.0,tp1.5,0.19449039643795954
104,0.03970430414174374,1.0932101875818458,0.4807692307692308,4.129247630741348,7.247190082286368,20,100,ny0811,False,3.0,tp2.0,0.19449039643795954
103,0.04317870885363274,1.1003238901038148,0.47572815533980584,4.447407011924172,7.247190082286368,20,100,ny0811,False,3.0,tp3.0,0.19449039643795954
124,-0.010695419350250937,0.9661388883396409,0.4435483870967742,-1.3262319994311162,7.728186166051064,20,100,ny0811,False,3.0,trail2.0,0.19449039643795954
113,0.023340907352136852,1.0631099764612897,0.4336283185840708,2.6375225307914643,6.534669278112187,20,100,ny0811,False,3.0,trail3.0,0.19449039643795954
113,0.05852370007819813,1.1029516822060947,0.4690265486725664,6.613178108836389,8.730937466705143,20,100,ny0811,True,1.5,tp1.5,0.3889807928759191
110,0.0925367234106858,1.1542917708665734,0.43636363636363634,10.17903957517544,9.77637178168015,20,100,ny0811,True,1.5,tp2.0,0.3889807928759191
107,0.012708109060341016,1.0190230206934436,0.37383177570093457,1.3597676694564886,14.70805134103584,20,100,ny0811,True,1.5,tp3.0,0.3889807928759191
111,-0.13455769462413478,0.7640037883695011,0.3333333333333333,-14.93590410327896,15.453917320021482,20,100,ny0811,True,1.5,trail2.0,0.3889807928759191
109,-0.11163027783133089,0.8280952585100653,0.3211009174311927,-12.167700283615067,15.81677816095751,20,100,ny0811,True,1.5,trail3.0,0.3889807928759191
100,0.04039615347519732,1.0781312071081344,0.48,4.0396153475197325,6.7019883621667855,20,100,ny0811,True,2.0,tp1.5,0.2917355946569393
99,0.04389624853672117,1.0808167647189308,0.4444444444444444,4.345728605135396,9.07618635158733,20,100,ny0811,True,2.0,tp2.0,0.2917355946569393
97,-0.08293604311897719,0.8561890064096104,0.41237113402061853,-8.044796182540788,12.029784202593802,20,100,ny0811,True,2.0,tp3.0,0.2917355946569393
105,-0.10276584415208366,0.7728741492918095,0.37142857142857144,-10.790413635968784,11.178923548525674,20,100,ny0811,True,2.0,trail2.0,0.2917355946569393
102,-0.11364153708403767,0.7926861467270774,0.3627450980392157,-11.591436782571842,14.197265250883763,20,100,ny0811,True,2.0,trail3.0,0.2917355946569393
96,0.013366131732787593,1.028119089125969,0.4791666666666667,1.283148646347609,7.826687378269256,20,100,ny0811,True,2.5,tp1.5,0.23338847572555144
94,-0.0716531884560246,0.8589935705716393,0.44680851063829785,-6.735399714866313,11.132212414066775,20,100,ny0811,True,2.5,tp2.0,0.23338847572555144
93,-0.09169115172183123,0.8202413921532331,0.44086021505376344,-8.527277110130305,10.61193988477984,20,100,ny0811,True,2.5,tp3.0,0.23338847572555144
104,-0.0898191822056267,0.7624069708127734,0.3942307692307692,-9.341194949385176,9.652002879430688,20,100,ny0811,True,2.5,trail2.0,0.23338847572555144
98,-0.08940265785205916,0.8032265898599845,0.3877551020408163,-8.761460469501797,11.150920821580097,20,100,ny0811,True,2.5,trail3.0,0.23338847572555144
88,-0.0027584961565612835,0.9934966687367026,0.4772727272727273,-0.24274766177739293,7.125965504291406,20,100,ny0811,True,3.0,tp1.5,0.19449039643795954
86,-0.057069416065821416,0.8669676061275088,0.46511627906976744,-4.907969781660642,7.6752525291611295,20,100,ny0811,True,3.0,tp2.0,0.19449039643795954
86,-0.05268841534317853,0.8771799940204934,0.46511627906976744,-4.531203719513353,7.67525252916113,20,100,ny0811,True,3.0,tp3.0,0.19449039643795954
100,-0.06615746095437007,0.7866763664316784,0.4,-6.615746095437006,7.169461759749524,20,100,ny0811,True,3.0,trail2.0,0.19449039643795954
94,-0.06681311191197487,0.8233090991135279,0.40425531914893614,-6.280432519725638,8.271649479790888,20,100,ny0811,True,3.0,trail3.0,0.19449039643795954
162,0.10401089941687335,1.1951891410222546,0.48148148148148145,16.849765705533482,8.664575129991723,20,100,ny0812,False,1.5,tp1.5,0.3889807928759191
156,0.10618989925092046,1.1814626839821107,0.4358974358974359,16.565624283143592,9.674137944892744,20,100,ny0812,False,1.5,tp2.0,0.3889807928759191
147,0.07100071243935974,1.110157885987698,0.38095238095238093,10.437104728585881,13.605817504248192,20,100,ny0812,False,1.5,tp3.0,0.3889807928759191
159,-0.05224784044320499,0.9066166327335848,0.36477987421383645,-8.307406630469593,16.5736158286539,20,100,ny0812,False,1.5,trail2.0,0.3889807928759191
151,-0.011432099897781812,0.9815332082837237,0.33774834437086093,-1.7262470845650537,16.88939369586778,20,100,ny0812,False,1.5,trail3.0,0.3889807928759191
139,0.0885812192888575,1.1826925693670598,0.49640287769784175,12.312789481151192,8.62163551142793,20,100,ny0812,False,2.0,tp1.5,0.2917355946569393
133,0.10195658585773971,1.1980906173574086,0.45864661654135336,13.560225919079382,9.571221803030328,20,100,ny0812,False,2.0,tp2.0,0.2917355946569393
128,0.03138597883102094,1.0577427996549302,0.4296875,4.0174052903706805,12.522389723965658,20,100,ny0812,False,2.0,tp3.0,0.2917355946569393
146,-0.027423525619504386,0.937999332816415,0.410958904109589,-4.00383474044764,13.832821515582985,20,100,ny0812,False,2.0,trail2.0,0.2917355946569393
137,-0.004543509981304921,0.9910372029934488,0.38686131386861317,-0.6224608674387742,13.242705914253696,20,100,ny0812,False,2.0,trail3.0,0.2917355946569393
131,0.10652475028353521,1.2464114169907214,0.5114503816793893,13.954742287143112,8.30954788752537,20,100,ny0812,False,2.5,tp1.5,0.23338847572555144
123,0.022704118923634414,1.0477370914941535,0.4634146341463415,2.792606627607033,8.9676296904025,20,100,ny0812,False,2.5,tp2.0,0.23338847572555144
120,0.004722894504190442,1.0099165560238719,0.4583333333333333,0.566747340502853,8.793870587735558,20,100,ny0812,False,2.5,tp3.0,0.23338847572555144
143,-0.02534146680512079,0.9309564485029025,0.43356643356643354,-3.6238297531322727,9.678924240618981,20,100,ny0812,False,2.5,trail2.0,0.23338847572555144
131,0.028451150984428387,1.0694588585323983,0.42748091603053434,3.7271007789601187,7.4175428624811905,20,100,ny0812,False,2.5,trail3.0,0.23338847572555144
118,0.06609330048805888,1.1673239593552476,0.4915254237288136,7.799009457590948,7.388941040686894,20,100,ny0812,False,3.0,tp1.5,0.19449039643795954
114,0.025944362524577713,1.0640509762893724,0.47368421052631576,2.957657327801859,7.388941040686894,20,100,ny0812,False,3.0,tp2.0,0.19449039643795954
112,0.0385859773399526,1.095694047695321,0.4732142857142857,4.321629462074691,7.388941040686894,20,100,ny0812,False,3.0,tp3.0,0.19449039643795954
141,-0.02520607663145175,0.9186540928930368,0.4326241134751773,-3.554056805034697,8.17336981294876,20,100,ny0812,False,3.0,trail2.0,0.19449039643795954
127,0.021651029816609473,1.0622404874788185,0.4330708661417323,2.749680786709403,6.435196363017578,20,100,ny0812,False,3.0,trail3.0,0.19449039643795954
132,0.03643080433756723,1.065686496090831,0.4621212121212121,4.808866172558874,8.956908120498525,20,100,ny0812,True,1.5,tp1.5,0.3889807928759191
128,0.07210500944991749,1.1232199114605343,0.4375,9.229441209589439,9.334583590745437,20,100,ny0812,True,1.5,tp2.0,0.3889807928759191
124,-0.0011309216438092065,0.9982560015144517,0.3790322580645161,-0.1402342838323416,14.266263150101128,20,100,ny0812,True,1.5,tp3.0,0.3889807928759191
131,-0.1413289577680406,0.7520495338478045,0.33587786259541985,-18.51409346761332,21.210196793579776,20,100,ny0812,True,1.5,trail2.0,0.3889807928759191
126,-0.11024464432330426,0.8257381283844784,0.3333333333333333,-13.890825184736338,18.656897834482997,20,100,ny0812,True,1.5,trail3.0,0.3889807928759191
116,0.031452511588050895,1.0631628090621226,0.4827586206896552,3.6484913442139035,7.2456925206397,20,100,ny0812,True,2.0,tp1.5,0.2917355946569393
