n,exp,pf,wr,profitR,maxddR,family,param,session,volfloor,k,exit,hurdle_R,req_exp,pass_hurdle
123,-0.1892817856311847,0.6489332039382418,0.34146341463414637,-23.28165963263572,29.094596411148807,donchian,12,ny0812,True,3.0,tp3.0,0.048622599109489885,0.19449039643795954,False
138,-0.1709686361623877,0.5948184882262916,0.2898550724637681,-23.593671790409502,26.177821199428685,donchian,12,ny0812,True,3.0,trail2.0,0.048622599109489885,0.19449039643795954,False
128,-0.19287084468438276,0.6304980360609632,0.3359375,-24.687468119600993,30.176882461650457,donchian,12,ny0812,True,3.0,trail3.0,0.048622599109489885,0.19449039643795954,False
375,-0.19821551747632085,0.7087687816228185,0.36,-74.33081905362032,87.807557036802,donchian,12,ln0312,False,1.5,tp1.5,0.09724519821897977,0.3889807928759191,False
352,-0.16962697909814725,0.7663938166657931,0.32386363636363635,-59.70869664254783,78.9695733705596,donchian,12,ln0312,False,1.5,tp2.0,0.09724519821897977,0.3889807928759191,False
308,-0.1501381128314115,0.806523293403919,0.2662337662337662,-46.24253875207474,68.52495165119429,donchian,12,ln0312,False,1.5,tp3.0,0.09724519821897977,0.3889807928759191,False
322,-0.19173677707104922,0.6950704642440158,0.2577639751552795,-61.73924221687785,69.70395315643276,donchian,12,ln0312,False,1.5,trail2.0,0.09724519821897977,0.3889807928759191,False
291,-0.14245539043217562,0.80547530720638,0.2611683848797251,-41.45451861576311,60.66137914276456,donchian,12,ln0312,False,1.5,trail3.0,0.09724519821897977,0.3889807928759191,False
321,-0.14964741018927702,0.7655716002379015,0.3894080996884735,-48.036818670757924,61.35741901089619,donchian,12,ln0312,False,2.0,tp1.5,0.07293389866423483,0.2917355946569393,False
294,-0.16059544860203667,0.7665927159424657,0.32653061224489793,-47.21506188899878,63.075581566469616,donchian,12,ln0312,False,2.0,tp2.0,0.07293389866423483,0.2917355946569393,False
267,-0.12875932711364238,0.8183086566044366,0.31086142322097376,-34.378740339342514,47.754005047251184,donchian,12,ln0312,False,2.0,tp3.0,0.07293389866423483,0.2917355946569393,False
308,-0.16676306566661933,0.6818224516618694,0.288961038961039,-51.36302422531875,58.49158297446811,donchian,12,ln0312,False,2.0,trail2.0,0.07293389866423483,0.2917355946569393,False
271,-0.12808503470397925,0.7980023242962757,0.2988929889298893,-34.71104440477838,48.23287783343842,donchian,12,ln0312,False,2.0,trail3.0,0.07293389866423483,0.2917355946569393,False
287,-0.16804768915265747,0.7243363549148095,0.37282229965156793,-48.22968678681269,57.61357677072234,donchian,12,ln0312,False,2.5,tp1.5,0.05834711893138786,0.23338847572555144,False
261,-0.16959544084962586,0.731461718423395,0.3486590038314176,-44.26441006175235,54.55451688541034,donchian,12,ln0312,False,2.5,tp2.0,0.05834711893138786,0.23338847572555144,False
248,-0.14049765083087717,0.7803509244769847,0.34274193548387094,-34.84341740605754,48.69760000567359,donchian,12,ln0312,False,2.5,tp3.0,0.05834711893138786,0.23338847572555144,False
303,-0.16049747837588196,0.6422278661313443,0.30363036303630364,-48.630735947892234,54.1335829472118,donchian,12,ln0312,False,2.5,trail2.0,0.05834711893138786,0.23338847572555144,False
265,-0.14808720902291508,0.7378191135420568,0.3132075471698113,-39.2431103910725,51.3611994806701,donchian,12,ln0312,False,2.5,trail3.0,0.05834711893138786,0.23338847572555144,False
250,-0.14773853191324432,0.7322547379393785,0.372,-36.93463297831108,43.82483914752067,donchian,12,ln0312,False,3.0,tp1.5,0.048622599109489885,0.19449039643795954,False
240,-0.11319596065262864,0.7946044375356706,0.375,-27.167030556630873,37.4180782098641,donchian,12,ln0312,False,3.0,tp2.0,0.048622599109489885,0.19449039643795954,False
230,-0.12033079032562341,0.7845255106145501,0.3652173913043478,-27.676081774893383,35.358697242184434,donchian,12,ln0312,False,3.0,tp3.0,0.048622599109489885,0.19449039643795954,False
299,-0.1361115860404411,0.6435230628178424,0.3110367892976589,-40.69736422609189,45.116403392191486,donchian,12,ln0312,False,3.0,trail2.0,0.048622599109489885,0.19449039643795954,False
256,-0.13748927307406017,0.7238075773292248,0.32421875,-35.1972539069594,45.100213861503846,donchian,12,ln0312,False,3.0,trail3.0,0.048622599109489885,0.19449039643795954,False
228,-0.260745160167287,0.6265712404334395,0.3333333333333333,-59.44989651814143,66.15197055818622,donchian,12,ln0312,True,1.5,tp1.5,0.09724519821897977,0.3889807928759191,False
212,-0.2807408000010558,0.622558237506774,0.29245283018867924,-59.51704960022383,65.63923242356061,donchian,12,ln0312,True,1.5,tp2.0,0.09724519821897977,0.3889807928759191,False
195,-0.26602992495331496,0.6590041773187704,0.24615384615384617,-51.87583536589642,63.1956345069855,donchian,12,ln0312,True,1.5,tp3.0,0.09724519821897977,0.3889807928759191,False
198,-0.2772637407547567,0.5972537218452024,0.22727272727272727,-54.89822066944183,59.071079449057315,donchian,12,ln0312,True,1.5,trail2.0,0.09724519821897977,0.3889807928759191,False
188,-0.260050298614405,0.6615836107703297,0.2393617021276596,-48.88945613950814,59.07515932205144,donchian,12,ln0312,True,1.5,trail3.0,0.09724519821897977,0.3889807928759191,False
196,-0.25583270202938346,0.612540606462942,0.3520408163265306,-50.14320959775916,60.50356401695458,donchian,12,ln0312,True,2.0,tp1.5,0.07293389866423483,0.2917355946569393,False
190,-0.2526667067383478,0.6328003863163836,0.30526315789473685,-48.00667428028608,61.939476655297966,donchian,12,ln0312,True,2.0,tp2.0,0.07293389866423483,0.2917355946569393,False
176,-0.27197718349262195,0.6229205498498819,0.2727272727272727,-47.867984294701465,57.954600379611065,donchian,12,ln0312,True,2.0,tp3.0,0.07293389866423483,0.2917355946569393,False
188,-0.22855674366079262,0.5998486461796712,0.26595744680851063,-42.968667808229014,46.815146593952086,donchian,12,ln0312,True,2.0,trail2.0,0.07293389866423483,0.2917355946569393,False
177,-0.25530455310214567,0.6311004363778205,0.2711864406779661,-45.188905899079785,54.000437746829704,donchian,12,ln0312,True,2.0,trail3.0,0.07293389866423483,0.2917355946569393,False
182,-0.26864756829071895,0.5665667556557967,0.32967032967032966,-48.89385742891085,57.89090905459643,donchian,12,ln0312,True,2.5,tp1.5,0.05834711893138786,0.23338847572555144,False
171,-0.2566498941549504,0.5975740169615691,0.3216374269005848,-43.88713190049651,58.72389601060748,donchian,12,ln0312,True,2.5,tp2.0,0.05834711893138786,0.23338847572555144,False
168,-0.29214430920882895,0.5553737344494394,0.2976190476190476,-49.08024394708326,56.956131210134465,donchian,12,ln0312,True,2.5,tp3.0,0.05834711893138786,0.23338847572555144,False
186,-0.20294243740798656,0.5832681352564174,0.27956989247311825,-37.7472933578855,41.139765078269484,donchian,12,ln0312,True,2.5,trail2.0,0.05834711893138786,0.23338847572555144,False
