event_date,thursday_close,friday_open,friday_noon,overnight_spike_bp,short_reversal_bp
2022-05-20,31200.0,31440.0,30981.0,76.62872745569098,147.06854203629223
2022-06-17,29934.0,29829.0,29812.0,-35.13883440909118,5.700776465987834
2022-07-15,30610.0,31061.0,31168.0,146.26259995108802,-34.389145076945745
2022-08-19,33995.0,33827.0,33711.0,-49.541548055485535,34.35106578999422
2022-09-16,31064.0,30702.0,30794.0,-117.21793378356416,-29.920667567172178
2022-10-21,30349.0,30337.0,30804.0,-3.9547836919230863,-152.76462012676345
2022-11-18,33588.0,33788.0,33737.0,59.36849543933554,15.105519347652208
2022-12-16,33441.0,33158.0,32944.0,-84.98677258322668,64.74864531839864
2023-01-20,33150.0,33182.0,33215.0,9.648435892920052,-9.940208960407867
2023-02-17,33738.0,33613.0,33660.0,-37.119016354033896,-13.972918599436381
2023-03-17,32491.0,32300.0,32039.0,-58.9589767988237,81.1331950179253
2023-04-21,33919.0,33978.0,33897.0,17.379270026732407,23.867414645041006
2023-05-19,33615.0,33669.0,33486.0,16.05136781228437,54.50091667876956
2023-06-16,34733.0,34853.0,34718.0,34.48973039235585,38.80932269001536
2023-07-21,35397.0,35457.0,35492.0,16.93623912321387,-9.866242748781747
2023-08-18,34524.0,34369.0,34605.0,-44.99739060051958,-68.43184996467402
2023-09-15,35261.0,35166.0,35043.0,-26.97830593942351,35.038278806784014
2023-10-20,33536.0,33480.0,33431.0,-16.71243077302389,14.646323850892973
2023-11-17,35015.0,35053.0,34991.0,10.846607217430652,17.703162638465987
2023-12-15,37648.0,37555.0,37660.0,-24.733068470315796,-27.919980910313548
2024-01-19,37654.0,37767.0,37787.0,29.9651514971179,-5.294226769502564
2024-02-16,38857.0,38799.0,38842.0,-14.937676621206387,-11.076623020426227
2024-03-15,39360.0,39213.0,39192.0,-37.41747712528275,5.356801352507645
2024-04-19,38001.0,38091.0,38156.0,23.655585861589277,-17.049855271976032
2024-05-17,40008.0,40050.0,40029.0,10.492393977657391,5.244820859749282
2024-06-21,39578.0,39606.0,39539.0,7.072136079767403,16.930953567509352
2024-07-19,40954.0,40808.0,40613.0,-35.71345005743038,47.89928220736816
2024-08-16,40692.0,40620.0,40730.0,-17.70956779263228,-27.043655080825165
2024-09-20,42441.0,42342.0,42342.0,-23.353748981587238,-0.0
2024-10-18,43501.0,43487.0,43439.0,-3.218834809600287,11.043877523108733
2024-11-15,43900.0,43718.0,43564.0,-41.54403473315105,35.28795394370597
2024-12-20,42796.0,42642.0,43548.0,-36.04957203547008,-210.2409494612042
2025-01-17,43379.0,43665.0,43802.0,65.71412830412447,-31.326125746789046
2025-02-21,44274.0,43997.0,43880.0,-62.76147528691038,26.628143685640378
2025-03-21,42291.0,41940.0,41989.0,-83.34271983124171,-11.67653744647935
2025-05-16,42417.0,42450.0,42417.0,7.776874795431843,7.776874795431445
2025-07-18,44725.0,44790.0,44548.0,14.52270824425914,54.176406883549994
2025-08-15,44988.0,45284.0,45075.0,65.57981674087742,46.26000126482022
2025-09-19,46508.0,46630.0,46511.0,26.197700138678535,25.55267062835363
2025-10-17,46165.0,46130.0,46325.0,-7.584376548620417,-42.18274601694396
2025-11-21,45831.0,46023.0,46475.0,41.80553479050516,-97.73262076761664
2025-12-19,48309.0,48405.0,48570.0,19.852354680662067,-34.02942185618651
2026-01-16,49649.0,49643.0,49590.0,-1.208556582062029,10.681931421922002
2026-02-20,49462.0,49322.0,49553.0,-28.34469017907601,-46.7257487300628
2026-03-20,46339.0,46192.0,46089.0,-31.77316221976937,22.323131039466432
2026-04-17,48766.0,49275.0,49858.0,103.83504314243905,-117.62111937627067
2026-05-15,50158.0,49809.0,49656.0,-69.82332527687248,30.76461482407356
2026-06-19,51976.0,51943.0,51942.0,-6.351100589738301,0.19252057564278746
2026-07-17,52783.0,52246.0,52747.0,-102.25836281363335,-95.43565810474033
