,zVIX,zCRED,zMOVE,zDXY,composite_eqw,composite_pca1,state_eqw,state_pca1
2016-05-17,-0.5910824768661641,1.5645226266557877,-0.7720961894391732,1.7811215682686672,0.4956163821547794,0.8822061453109477,off,off
2016-05-18,-0.5524871553198131,1.4804180729232486,-0.6926227832748375,1.857035406791159,0.5230858852799393,0.9505178990105544,off,off
2016-05-19,-0.5139016697465802,1.528449335247629,-0.6717970978325781,1.8859365624335584,0.5571717825255073,1.0130069096692145,off,off
2016-05-20,-0.6280490999208197,1.5004037878740824,-0.7310763985072627,1.8869874275602834,0.5070664292515709,0.93787877292863,off,off
2016-05-23,-0.5651441275620414,1.4970421113009627,-0.7520184894175367,1.8734335148809298,0.5133282523005787,0.9460105546689779,off,off
2016-05-24,-0.7066111977523232,1.422313739011876,-0.7044507683965289,1.9212152272056986,0.4831167500171807,0.9124699263462617,off,off
2016-05-25,-0.7589871569928717,1.4234454804937056,-0.7585048014804736,1.8871681258918231,0.44828041197804586,0.8482127939850067,off,off
2016-05-26,-0.8062772175034644,1.4774443756579223,-0.7985964092564857,1.8590565507868455,0.43290682492120447,0.814588222893019,off,off
2016-05-27,-0.8373520390804756,1.453151159897825,-0.7806027294898686,1.908252219480647,0.435862152702032,0.8365876449990516,off,off
2016-05-31,-0.7287748287656708,1.4781875152059518,-0.7469394855630593,1.9602012872430792,0.4906686220300752,0.9425653892057141,off,off
2016-06-01,-0.7275205074430725,1.4880430759345433,-0.7222944275807396,1.8955714140985995,0.4834498887523327,0.9043328932506471,off,off
2016-06-02,-0.7849677264510198,1.5039115299336008,-0.6985316284239761,1.90822633845413,0.4821596283781837,0.9041322380681692,off,off
2016-06-03,-0.8008865494067251,1.5618416299585678,-0.7555250208940975,1.6838557274963653,0.4223214467885276,0.7274133565691238,off,off
2016-06-06,-0.7823816542421138,1.495775883377908,-0.7936089747007488,1.6635573062700584,0.3958356401762759,0.6828316816361532,off,off
2016-06-07,-0.7416151752734573,1.4670240097328384,-0.7933285792584827,1.6520265274141166,0.39602669565375376,0.6806677315697782,off,off
2016-06-08,-0.7383287497888142,1.4615342439943033,-0.7451137657225116,1.615824718308565,0.39847911169788564,0.6668460195438339,off,off
2016-06-09,-0.6813774043330474,1.5112249056839413,-0.7448627757694818,1.6886243960165783,0.4434022803994976,0.7648510032690212,off,off
2016-06-10,-0.4390984234611268,1.5673394567079744,-0.535959073570962,1.759786803964274,0.5880171909100399,1.003700113806752,off,off
2016-06-13,-0.03980144111314684,1.615253376374924,-0.40587402012130547,1.7248623208168106,0.7236100589893206,1.1959948324604945,off,off
2016-06-14,-0.08742352929556799,1.6245929100539898,-0.41943689041092064,1.804578641189748,0.7305777828843123,1.2363655399799602,off,off
2016-06-15,-0.12389525734525478,1.6536900748169776,-0.43183450518890176,1.7565435024425697,0.7136259536813476,1.1912620997424979,off,off
2016-06-16,-0.20193362225195247,1.6606187320064558,-0.29007636442783,1.7491984649157208,0.7294518025605985,1.2006700538106312,off,off
2016-06-17,-0.1978320625744005,1.6258357904018648,-0.31793692171237553,1.6955327086487517,0.7013998786909601,1.1390659783382782,off,off
2016-06-20,-0.3032681656015622,1.5576870024574032,-0.47090970266542126,1.607249388634509,0.5976896307062322,0.9553130215164148,off,off
2016-06-21,-0.2920380906432527,1.5118380629839525,-0.4812616239954747,1.665345808323917,0.6009710391672856,0.9829711324888235,off,off
2016-06-22,-0.01902694675406855,1.5190128546777355,-0.4066234429543044,1.6205891573262907,0.6784879055739133,1.0834378146374273,off,off
2016-06-23,-0.41684653667921295,1.43867608246379,-0.5660444261891855,1.5918414131835703,0.5119066331947405,0.8223306122668618,off,off
2016-06-24,0.4470548511932388,1.638357715485891,-0.4523388399245616,1.8681587958742543,0.8753081306572056,1.4932757774600933,off,off
2016-06-27,0.253041777721792,1.8099720610876076,-0.34651287097599814,2.0237440733381167,0.9350612602928795,1.63285727448811,off,off
2016-06-28,-0.26489214428364505,1.744210502813566,-0.4308962768281796,1.9796837277070782,0.7570264523522049,1.338083273121282,off,off
2016-06-29,-0.4791159662611146,1.623277793303276,-0.6309033189325767,1.9083676903955742,0.6054065496262897,1.0901933399596302,off,off
