time,structBias
1317592800,-1
1318197600,1
1318802400,1
1319407200,1
1320012000,1
1320620400,1
1321225200,-1
1321830000,-1
1322434800,1
1323039600,1
1323644400,-1
1324249200,1
1324854000,1
1325458800,1
1326063600,1
1326668400,1
1327273200,1
1327878000,1
1328482800,1
1329087600,1
1329692400,1
1330297200,1
1330902000,1
1331503200,1
1332108000,1
1332712800,1
1333317600,1
1333922400,1
1334527200,1
1335132000,1
1335736800,1
1336341600,1
1336946400,-1
1337551200,-1
1338156000,-1
1338760800,-1
1339365600,1
1339970400,-1
1340575200,1
1341180000,1
1341784800,1
1342389600,1
1342994400,1
1343599200,1
1344204000,1
1344808800,1
1345413600,1
1346018400,1
1346623200,1
1347228000,1
1347832800,1
1348437600,1
1349042400,1
1349647200,1
1350252000,1
1350856800,1
1351461600,1
1352070000,-1
1352674800,-1
1353279600,1
1353884400,1
1354489200,1
1355094000,1
1355698800,1
1356303600,-1
1356908400,1
1357513200,1
1358118000,1
1358722800,1
1359327600,1
1359932400,1
1360537200,1
1361142000,1
1361746800,1
1362351600,1
1362952800,1
1363557600,1
1364162400,1
1364767200,1
1365372000,1
1365976800,1
1366581600,1
1367186400,1
1367791200,1
1368396000,1
1369000800,1
1369605600,1
1370210400,1
1370815200,1
1371420000,1
1372024800,1
1372629600,1
1373234400,1
1373839200,1
1374444000,1
1375048800,1
1375653600,1
1376258400,1
1376863200,1
1377468000,1
1378072800,1
1378677600,1
1379282400,1
1379887200,1
1380492000,1
1381096800,1
1381701600,1
1382306400,1
1382911200,1
1383519600,1
1384124400,1
1384729200,1
1385334000,1
1385938800,1
1386543600,1
1387148400,1
1387753200,1
1388358000,1
1388962800,1
1389567600,1
1390172400,1
1390777200,1
1391382000,1
1391986800,1
1392591600,1
1393196400,1
1393801200,1
1394402400,1
1395007200,1
1395612000,1
1396216800,1
1396821600,-1
1397426400,1
1398031200,1
1398636000,1
1399240800,1
1399845600,1
1400450400,1
1401055200,1
1401660000,1
1402264800,1
1402869600,1
1403474400,1
1404079200,1
1404684000,1
1405288800,1
1405893600,1
1406498400,1
1407103200,1
1407708000,1
1408312800,1
1408917600,1
1409522400,1
1410127200,1
1410732000,1
1411336800,1
1411941600,1
1412546400,-1
1413151200,-1
1413756000,1
1414360800,1
1414969200,1
1415574000,1
1416178800,1
1416783600,1
1417388400,1
1417993200,1
1418598000,1
1419202800,1
1419807600,1
1420412400,1
1421017200,1
1421622000,1
1422226800,-1
1422831600,1
1423436400,1
1424041200,1
1424646000,1
1425250800,1
1425852000,1
1426456800,1
1427061600,1
1427666400,1
1428271200,1
1428876000,1
1429480800,1
1430085600,1
1430690400,1
1431295200,1
1431900000,1
1432504800,1
1433109600,1
1433714400,1
1434319200,1
1434924000,1
1435528800,-1
1436133600,-1
1436738400,1
1437343200,-1
1437948000,1
1438552800,-1
1439157600,1
1439762400,-1
1440367200,-1
1440972000,-1
1441576800,-1
1442181600,-1
1442786400,-1
1443391200,-1
1443996000,-1
1444600800,1
1445205600,1
1445810400,1
1446418800,1
1447023600,-1
1447628400,1
1448233200,1
1448838000,1
1449442800,-1
1450047600,-1
1450652400,1
1451257200,-1
1451862000,-1
1452466800,-1
1453071600,-1
1453676400,-1
1454281200,-1
1454886000,-1
1455490800,-1
1456095600,-1
1456700400,1
1457305200,1
1457906400,1
1458511200,1
1459116000,1
1459720800,1
1460325600,1
1460930400,1
1461535200,1
1462140000,1
1462744800,1
1463349600,1
1463954400,1
1464559200,1
1465164000,1
1465768800,1
1466373600,-1
1466978400,1
1467583200,1
1468188000,1
1468792800,1
1469397600,1
1470002400,1
1470607200,1
1471212000,1
1471816800,1
1472421600,1
1473026400,-1
1473631200,1
1474236000,1
1474840800,1
1475445600,1
1476050400,-1
1476655200,1
1477260000,-1
1477864800,-1
1478473200,1
1479078000,1
1479682800,1
1480287600,1
1480892400,1
1481497200,1
1482102000,1
1482706800,1
1483311600,1
1483916400,1
1484521200,1
1485126000,1
1485730800,1
1486335600,1
1486940400,1
1487545200,1
1488150000,1
1488754800,1
1489356000,1
1489960800,1
1490565600,1
1491170400,1
1491775200,1
1492380000,1
1492984800,1
1493589600,1
1494194400,1
1494799200,1
1495404000,1
1496008800,1
1496613600,1
1497218400,1
1497823200,1
1498428000,1
1499032800,1
1499637600,1
1500242400,1
1500847200,1
1501452000,1
1502056800,1
1502661600,1
1503266400,1
1503871200,1
1504476000,1
1505080800,1
1505685600,1
1506290400,1
1506895200,1
1507500000,1
1508104800,1
1508709600,1
1509314400,1
1509922800,1
1510527600,1
1511132400,1
1511737200,1
1512342000,1
1512946800,1
1513551600,1
1514156400,1
1514761200,1
1515366000,1
1515970800,1
1516575600,1
1517180400,1
1517785200,-1
1518390000,1
1518994800,1
1519599600,1
1520204400,1
1520805600,1
1521410400,-1
1522015200,-1
1522620000,-1
1523224800,-1
1523829600,1
1524434400,1
1525039200,-1
1525644000,1
1526248800,1
1526853600,1
1527458400,1
1528063200,1
1528668000,1
1529272800,1
1529877600,1
1530482400,1
1531087200,1
1531692000,1
1532296800,1
1532901600,1
1533506400,1
1534111200,1
1534716000,1
1535320800,1
1535925600,1
1536530400,1
1537135200,1
1537740000,1
1538344800,1
1538949600,-1
1539554400,-1
1540159200,-1
1540764000,-1
1541372400,-1
1541977200,-1
1542582000,-1
1543186800,-1
1543791600,-1
1544396400,-1
1545001200,-1
1545606000,-1
1546210800,-1
1546815600,-1
1547420400,-1
1548025200,-1
1548630000,1
1549234800,1
1549839600,1
1550444400,1
1551049200,1
1551654000,1
1552255200,1
1552860000,1
1553464800,1
1554069600,1
1554674400,1
1555279200,1
1555884000,1
1556488800,1
1557093600,1
1557698400,1
1558303200,1
1558908000,-1
1559512800,1
1560117600,1
1560722400,1
1561327200,1
1561932000,1
1562536800,1
1563141600,1
1563746400,1
1564351200,1
1564956000,1
1565560800,-1
1566165600,-1
1566770400,1
1567375200,1
1567980000,1
1568584800,1
1569189600,1
1569794400,1
1570399200,1
1571004000,1
1571608800,1
1572213600,1
1572822000,1
1573426800,1
1574031600,1
1574636400,1
1575241200,1
1575846000,1
1576450800,1
1577055600,1
1577660400,1
1578265200,1
1578870000,1
1579474800,1
1580079600,1
1580684400,1
1581289200,1
1581894000,1
1582498800,-1
1583103600,-1
1583704800,-1
1584309600,-1
1584914400,-1
1585519200,-1
1586124000,-1
1586728800,-1
1587333600,-1
1587938400,-1
1588543200,1
1589148000,-1
1589752800,1
1590357600,1
1590962400,1
1591567200,1
1592172000,1
1592776800,1
1593381600,1
1593986400,1
1594591200,1
1595196000,1
1595800800,1
1596405600,1
1597010400,1
1597615200,1
1598220000,1
1598824800,1
1599429600,1
1600034400,1
1600639200,1
1601244000,1
1601848800,1
1602453600,1
1603058400,1
1603663200,-1
1604271600,1
1604876400,1
1605481200,1
1606086000,1
1606690800,1
1607295600,1
1607900400,1
1608505200,1
1609110000,1
1609714800,1
1610319600,1
1610924400,1
1611529200,1
1612134000,1
1612738800,1
1613343600,1
1613948400,1
1614553200,1
1615158000,1
1615759200,1
1616364000,1
1616968800,1
1617573600,1
1618178400,1
1618783200,1
1619388000,1
1619992800,1
1620597600,1
1621202400,1
1621807200,1
1622412000,1
1623016800,1
1623621600,1
1624226400,1
1624831200,1
1625436000,1
1626040800,1
1626645600,1
1627250400,1
1627855200,1
1628460000,1
1629064800,1
1629669600,1
1630274400,1
1630879200,1
1631484000,1
1632088800,1
1632693600,1
1633298400,1
1633903200,1
1634508000,1
1635112800,1
1635717600,1
1636326000,1
1636930800,1
1637535600,1
1638140400,1
1638745200,1
1639350000,1
1639954800,1
1640559600,1
1641164400,1
1641769200,1
1642374000,-1
1642978800,-1
1643583600,-1
1644188400,-1
1644793200,-1
1645398000,-1
1646002800,-1
1646607600,-1
1647208800,1
1647813600,1
1648418400,1
1649023200,1
1649628000,-1
1650232800,-1
1650837600,-1
1651442400,-1
1652047200,-1
1652652000,-1
1653256800,-1
1653861600,-1
1654466400,-1
1655071200,-1
1655676000,-1
1656280800,-1
1656885600,-1
1657490400,-1
1658095200,-1
1658700000,1
1659304800,1
1659909600,1
1660514400,1
1661119200,-1
1661724000,-1
1662328800,-1
1662933600,-1
1663538400,-1
1664143200,-1
1664748000,-1
1665352800,-1
1665957600,-1
1666562400,1
1667167200,-1
1667775600,1
1668380400,1
1668985200,1
1669590000,1
1670194800,-1
1670799600,-1
1671404400,-1
1672009200,-1
1672614000,-1
1673218800,1
1673823600,1
1674428400,1
1675033200,1
1675638000,1
1676242800,1
1676847600,-1
1677452400,1
1678057200,-1
1678658400,-1
1679263200,1
1679868000,1
1680472800,1
1681077600,1
1681682400,1
1682287200,1
